stationName,Province,Climate.ID,Station.ID,WMO.ID,TC.ID,Latitude..Decimal.Degrees.,Longitude..Decimal.Degrees.,Latitude,Longitude,Elevation..m.,First.Year,Last.Year,HLY.First.Year,HLY.Last.Year,DLY.First.Year,DLY.Last.Year,MLY.First.Year,MLY.Last.Year
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018615,10944,NA,YWH,48.42,-123.39,482522000,-1232315000,NA,1994,2015,1994,2015,NA,NA,NA,NA
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018619,53478,NA,YWH,48.42,-123.39,482522000,-1232315000,NA,2015,2023,2015,2020,NA,NA,NA,NA
VICTORIA INT'L A,BRITISH COLUMBIA,1018620,118,71799,YYJ,48.65,-123.43,483850010,-1232533000,19.51,1940,2013,1980,2013,1940,2013,1940,2013
VICTORIA INTL A,BRITISH COLUMBIA,1018621,51337,71799,YYJ,48.65,-123.43,483850000,-1232533000,19.5,2013,2023,2013,2020,2013,2023,NA,NA
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018633,53479,NA,YWH,48.42,-123.39,482522000,-1232315000,NA,2015,2023,2015,2020,2018,2023,NA,NA
VICTORIA MARINE,BRITISH COLUMBIA,1018642,121,NA,,48.37,-123.75,482200000,-1234500000,31.7,1967,1992,1980,1992,1967,1992,1967,1992
VICTORIA HARTLAND CS,BRITISH COLUMBIA,1018FJ5,11007,NA,,48.53,-123.46,483201800,-1232732900,154.1,1994,2012,1994,2012,1994,2012,1994,2005
SATURNA ISLAND CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,101G100,7997,NA,,48.78,-123.05,484700000,-1230300000,24.4,1980,1992,1980,1992,NA,NA,NA,NA
ALERT BAY,BRITISH COLUMBIA,1020270,137,NA,,50.58,-126.93,503500000,-1265600000,59.4,1913,2006,1980,2006,1913,2006,1913,1994
BALLENAS ISLAND,BRITISH COLUMBIA,1020590,138,71769,WGB,49.35,-124.16,492101000,-1240937000,14.51,1966,2023,1980,2020,1966,2023,1967,2007
NANAIMO HARBOUR,BRITISH COLUMBIA,1021052,26822,NA,WNA,49.17,-123.93,491000000,-1235600000,5,1994,1995,1994,1995,NA,NA,NA,NA
CAMPBELL RIVER A,BRITISH COLUMBIA,1021261,145,NA,YBL,49.95,-125.27,495707000,-1251623000,108.8,1965,2023,1980,2020,1965,2023,1965,2007
CAMPBELL RIVER A,BRITISH COLUMBIA,1021267,51317,NA,YBL,49.95,-125.27,495707000,-1251623000,108.8,2013,2023,2013,2020,NA,NA,NA,NA
CAMPBELL RIVER A,BRITISH COLUMBIA,1021270,52979,NA,YBL,49.95,-125.27,495707000,-1251623000,108.8,2014,2023,2014,2020,2018,2023,NA,NA
CAPE MUDGE,BRITISH COLUMBIA,1021330,152,NA,WAD,50,-125.2,495954500,-1251143700,4.6,1978,2023,1980,2020,1978,2023,1978,2007
CAPE MUDGE CS,BRITISH COLUMBIA,1021332,27382,NA,WYA,50,-125.2,500000000,-1251200000,4,1998,1998,1998,1998,NA,NA,NA,NA
CHATHAM POINT,BRITISH COLUMBIA,1021480,153,NA,WFM,50.33,-125.45,501959500,-1252644000,22.9,1958,2023,1980,2020,1958,2023,1958,2007
CHROME ISLAND,BRITISH COLUMBIA,1021616,27289,NA,WOG,49.47,-124.68,492800000,-1244100000,11.3,1997,1998,1997,1998,1998,1998,NA,NA
COMOX A,BRITISH COLUMBIA,1021830,155,71893,YQQ,49.72,-124.9,494300000,-1245400000,25.6,1944,2023,1980,2020,1944,2023,1944,2017
ENTRANCE ISLAND,BRITISH COLUMBIA,1022689,29411,71772,WEL,49.21,-123.81,491231195,-1234838001,7.6,1992,2023,1992,2020,1992,2023,1992,2006
FANNY ISLAND,BRITISH COLUMBIA,1022795,29733,71568,XFA,50.45,-125.99,502712663,-1255934425,5.2,2000,2023,2000,2020,2000,2023,2000,2007
MT WASHINGTON,BRITISH COLUMBIA,1025230,46567,NA,VOJ,49.75,-125.29,494448100,-1251713900,1473.5,2007,2010,2007,2010,2007,2010,NA,NA
NANAIMO A,BRITISH COLUMBIA,1025365,52941,NA,YCD,49.05,-123.87,490316000,-1235212000,28,2014,2023,2014,2020,2018,2023,NA,NA
NANAIMO A,BRITISH COLUMBIA,1025369,51318,NA,YCD,49.05,-123.87,490316000,-1235212000,28,2013,2023,2013,2020,2016,2022,NA,NA
NANAIMO A,BRITISH COLUMBIA,1025370,192,NA,YCD,49.05,-123.87,490316000,-1235212000,28.04,1947,2016,1980,2016,1947,2016,1947,2007
NANOOSE BAY AUTO,BRITISH COLUMBIA,1025376,52058,NA,VNB,49.27,-124.15,491558030,-1240905070,5,2014,2015,2014,2015,NA,NA,NA,NA
PINE ISLAND,BRITISH COLUMBIA,1026170,200,NA,WPI,50.98,-127.73,505833010,-1274341040,28,1984,2018,1984,2018,1984,2018,1984,2007
PORT HARDY A,BRITISH COLUMBIA,1026270,202,71109,YZT,50.68,-127.37,504049000,-1272158000,21.6,1944,2013,1980,2013,1944,2013,1944,2013
PORT HARDY A,BRITISH COLUMBIA,1026271,51319,71109,YZT,50.68,-127.37,504050000,-1272200000,21.6,2013,2023,2013,2020,2013,2023,NA,NA
QUALICUM BEACH AIRPORT,BRITISH COLUMBIA,1026562,45627,71766,VOQ,49.34,-124.39,492014000,-1242338000,58.2,2006,2023,2006,2020,2006,2023,2006,2006
SISTERS ISLAND,BRITISH COLUMBIA,1027403,6813,71781,WGT,49.49,-124.43,492911800,-1242605800,20,1992,2023,1992,2020,1992,2023,1992,2004
AMPHITRITE POINT,BRITISH COLUMBIA,1030426,227,NA,WAN,48.92,-125.54,485516007,-1253228003,26.5,1980,2010,1980,2010,1980,2010,1980,1999
BULL HARBOUR,BRITISH COLUMBIA,1031110,234,NA,,50.92,-127.95,505500000,-1275700000,13.7,1921,1988,1980,1988,1921,1988,1921,1988
CAPE SCOTT,BRITISH COLUMBIA,1031353,237,NA,WES,50.78,-128.43,504656040,-1282538020,71.6,1965,2016,1980,2016,1965,2016,1965,2007
ESTEVAN POINT CS,BRITISH COLUMBIA,1032731,8040,71894,WEB,49.38,-126.54,492259914,-1263235193,5.8,1993,2023,1993,2020,1993,2023,1997,2007
HOLBERG CCR,BRITISH COLUMBIA,1033481,10998,71562,WXH,50.63,-128.12,503800000,-1280700000,568,1994,2010,1994,2010,2010,2010,NA,NA
LAWN POINT (AUT),BRITISH COLUMBIA,1034NR0,8043,NA,,50.33,-127.97,502000000,-1275800000,3.6,1980,1986,1980,1986,NA,NA,NA,NA
NOOTKA LIGHTSTATION,BRITISH COLUMBIA,1035614,261,NA,WCV,49.6,-126.62,493600000,-1263700000,15.8,1978,2023,1980,2020,1978,2023,1978,2007
PORT ALBERNI A,BRITISH COLUMBIA,1036206,264,NA,,49.25,-124.83,491500000,-1245000000,2.4,1969,1996,1980,1996,1969,1996,1969,1996
QUATSINO LIGHTSTATION,BRITISH COLUMBIA,1036572,272,NA,WIF,50.44,-128.03,502628000,-1280157000,21,1978,2023,1980,2020,1978,2023,1978,2007
PORT ALBERNI (AUT),BRITISH COLUMBIA,1036B06,8045,71475,WQC,49.32,-124.93,491859700,-1245536600,76.2,1992,2023,1992,2020,1992,2023,2002,2007
SARTINE ISLAND (AUT),BRITISH COLUMBIA,1037090,8261,71478,WFG,50.82,-128.91,504916000,-1285429000,103.45,1994,2023,1994,2020,1994,2023,2005,2007
SOLANDER ISLAND (AUT),BRITISH COLUMBIA,1037553,8260,71479,WRU,50.11,-127.94,500641436,-1275623999,94.2,1994,2023,1994,2020,1994,2023,2007,2007
TOFINO A,BRITISH COLUMBIA,1038204,52198,NA,YAZ,49.08,-125.77,490456000,-1254621000,24.4,2014,2023,2014,2020,NA,NA,NA,NA
TOFINO A,BRITISH COLUMBIA,1038205,277,NA,YAZ,49.08,-125.77,490456000,-1254621020,24.45,1942,2023,1980,2020,1942,2023,1942,2007
TOFINO A,BRITISH COLUMBIA,1038210,52960,NA,YAZ,49.08,-125.77,490456000,-1254621000,24.4,2014,2023,2014,2020,2018,2023,NA,NA
NITINAT LAKE (AUT),BRITISH COLUMBIA,103EFJ0,10184,NA,WAC,48.67,-124.83,484000000,-1245000000,36.4,1992,2001,1992,2001,1992,2001,NA,NA
GRIEF POINT,BRITISH COLUMBIA,1043304,27449,NA,WKA,49.8,-124.53,494816600,-1243130800,10,1997,2023,1997,2020,2018,2023,NA,NA
MERRY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1045100,320,NA,WMR,49.47,-123.91,492803030,-1235445040,7.2,1954,2023,1980,2020,1957,2023,1957,2007
MERRY ISLAND,BRITISH COLUMBIA,1045101,27288,71210,WMY,49.47,-123.92,492800000,-1235500000,20,1997,1998,1997,1998,1998,1998,NA,NA
HOWE SOUND - PAM ROCKS,BRITISH COLUMBIA,10459NN,6817,71211,WAS,49.49,-123.3,492916009,-1231758030,7.14,1991,2023,1991,2020,1991,2023,1991,2007
PORT MELLON,BRITISH COLUMBIA,1046332,45267,71605,VOM,49.53,-123.5,493134700,-1232946500,125.1,2006,2023,2006,2020,2006,2023,2006,2007
POWELL RIVER A,BRITISH COLUMBIA,1046391,327,NA,YPW,49.83,-124.5,495003010,-1243001000,129.51,1954,2023,1980,2020,1954,2023,1954,2007
POWELL RIVER,BRITISH COLUMBIA,1046392,45807,71720,VOP,49.83,-124.5,495004400,-1242948500,125,2007,2023,2007,2020,2007,2023,NA,NA
POWELL RIVER A,BRITISH COLUMBIA,1046395,51438,NA,YPW,49.83,-124.5,495003000,-1243001000,129.5,2013,2023,2013,2020,NA,NA,NA,NA
POWELL RIVER A,BRITISH COLUMBIA,1046396,52018,NA,YPW,49.83,-124.5,495003000,-1243001000,129.5,2013,2023,2013,2020,2018,2023,NA,NA
SECHELT AUT,BRITISH COLUMBIA,1047172,45788,71638,VOU,49.46,-123.72,492728788,-1234254945,86.2,2007,2023,2007,2020,2007,2023,NA,NA
SQUAMISH AIRPORT,BRITISH COLUMBIA,10476F0,336,71207,WSK,49.78,-123.16,494659550,-1230940300,53.7,1982,2023,1982,2020,1982,2023,1982,2007
SQUAMISH AIRPORT,BRITISH COLUMBIA,1047FF0,10816,NA,YSE,49.78,-123.16,494654000,-1230943000,52.1,2010,2010,2010,2010,2010,2010,NA,NA
WHISTLER,BRITISH COLUMBIA,1048898,348,NA,WAE,50.13,-122.95,500744001,-1225717400,657.8,1976,2023,1980,2020,1976,2023,1976,2007
WHISTLER A,BRITISH COLUMBIA,1048899,52178,NA,WAE,50.13,-122.95,500744000,-1225717000,657.8,2014,2023,2014,2020,NA,NA,NA,NA
CAPE ST JAMES,BRITISH COLUMBIA,1051350,352,NA,,51.93,-131.02,515600000,-1310100000,92,1925,1998,1980,1998,1925,1998,1925,1998
CAPE ST JAMES,BRITISH COLUMBIA,1051351,10901,71107,WZV,51.94,-131.02,515609000,-1310057000,87.8,1992,2023,1992,2020,1992,2023,1994,2007
HOSKINS ISLET,BRITISH COLUMBIA,1053608,6818,NA,WZK,52.53,-131.55,523200000,-1313300000,8,1992,1995,1992,1995,1992,1995,1992,1994
KINDAKUN ROCKS (AUT),BRITISH COLUMBIA,1054222,8062,71472,WQS,53.32,-132.77,531856088,-1324619199,14.7,1994,2023,1994,2020,1994,2023,2005,2005
LANGARA,BRITISH COLUMBIA,1054500,358,71899,WLA,54.26,-133.06,541518648,-1330328799,42.69,1936,2023,1980,2020,1936,2023,1936,2007
LANGARA ISLAND RCS,BRITISH COLUMBIA,1054503,6819,71903,WJU,54.26,-133.06,541519397,-1330330557,46.9,1992,2023,1992,2020,1992,2023,1992,2007
MASSET AIRPORT,BRITISH COLUMBIA,1054920,360,NA,ZMT,54.02,-132.12,540121400,-1320702900,5.8,1897,2014,1980,2014,1897,2008,1897,2007
MASSET A,BRITISH COLUMBIA,1054921,52339,NA,ZMT,54.03,-132.13,540138000,-1320730000,5.8,2014,2023,2014,2020,NA,NA,NA,NA
MASSET A,BRITISH COLUMBIA,1054929,52940,NA,ZMT,54.03,-132.13,540138000,-1320730000,5.8,2014,2023,2014,2020,2018,2023,NA,NA
ROSE SPIT (AUT),BRITISH COLUMBIA,1056869,8064,71477,WRO,54.16,-131.66,540932904,-1313940773,6.6,1994,2023,1994,2020,1994,2023,2004,2005
SANDSPIT A,BRITISH COLUMBIA,1057050,367,NA,YZP,53.25,-131.81,531514000,-1314847000,6.4,1945,2017,1980,2017,1945,2017,1945,2007
SANDSPIT AIRPORT AUTO,BRITISH COLUMBIA,1057051,50108,71101,VZP,53.25,-131.81,531458002,-1314847257,6.5,2012,2023,2012,2020,2013,2023,NA,NA
SANDSPIT,BRITISH COLUMBIA,1057052,48648,71111,YZP,53.25,-131.81,531515000,-1314850000,6.4,2010,2023,2010,2020,2010,2023,NA,NA
SANDSPIT AWOS,BRITISH COLUMBIA,1057055,30955,NA,CZP,53.25,-131.81,531515000,-1314850000,6.4,1999,2013,1999,2013,2002,2013,2005,2006
SCUDDER POINT,BRITISH COLUMBIA,1057133,6821,NA,WZD,52.45,-131.23,522700000,-1311400000,5,1992,2009,1992,2009,1992,2009,1992,1996
ADDENBROKE ISLAND,BRITISH COLUMBIA,1060080,374,NA,WCZ,51.6,-127.86,513612700,-1275149900,21.3,1978,2023,1980,2020,1978,2023,1978,2007
BELLA BELLA A,BRITISH COLUMBIA,1060811,44766,NA,,52.19,-128.16,521106000,-1280924000,43,2006,2011,2006,2011,2006,2011,2006,2007
BELLA BELLA,BRITISH COLUMBIA,1060815,49388,71582,BBC,52.19,-128.16,521106000,-1280924000,43,2011,2023,2011,2020,2011,2023,NA,NA
BELLA COOLA A,BRITISH COLUMBIA,1060841,381,71206,YBD,52.39,-126.6,522315000,-1263545000,35.7,1983,2017,1983,2017,1983,2017,1983,2007
BELLA COOLA AIRPORT,BRITISH COLUMBIA,1060844,54338,71533,VBD,52.39,-126.59,522319000,-1263513000,36.89,2015,2023,2015,2020,2015,2023,NA,NA
BELLA COOLA A,BRITISH COLUMBIA,1060845,51419,NA,YBD,52.39,-126.6,522315000,-1263545000,35.7,2013,2023,2013,2020,NA,NA,NA,NA
BELLA COOLA A,BRITISH COLUMBIA,1060848,52978,NA,YBD,52.39,-126.6,522315000,-1263545000,35.7,2014,2023,2014,2020,2018,2023,NA,NA
BOAT BLUFF,BRITISH COLUMBIA,1060901,383,NA,WZM,52.64,-128.52,523835050,-1283126070,10.7,1974,2023,1980,2020,1974,2023,1974,2007
BONILLA ISLAND,BRITISH COLUMBIA,1060902,384,NA,WVB,53.49,-130.64,532933900,-1303815700,16.2,1960,2023,1980,2020,1960,2023,1960,2007
BONILLA ISLAND (AUT),BRITISH COLUMBIA,1060R0K,8265,71484,WWL,53.49,-130.64,532934259,-1303820400,12.52,1994,2023,1994,2020,1994,2023,2002,2007
CATHEDRAL POINT (AUT),BRITISH COLUMBIA,1061458,8264,71482,WME,52.19,-127.47,521114830,-1272816180,26.4,1994,2023,1994,2020,1994,2023,2002,2007
CUMSHEWA ISLAND,BRITISH COLUMBIA,1062251,6822,71771,WZL,53.03,-131.6,530149476,-1313605599,12.57,1992,2023,1992,2020,1992,2023,1993,2007
DRYAD POINT,BRITISH COLUMBIA,1062544,387,NA,WAU,52.19,-128.11,521106002,-1280644008,3.5,1977,2023,1980,2020,1977,2023,1977,2007
EGG ISLAND,BRITISH COLUMBIA,1062646,389,NA,WEM,51.25,-127.84,511450000,-1275007300,14,1965,2023,1980,2020,1965,2023,1965,2007
ETHELDA BAY,BRITISH COLUMBIA,1062745,390,NA,,53.05,-129.68,530300000,-1294100000,9.6,1957,1994,1980,1994,1957,1991,1957,1991
GREEN ISLAND,BRITISH COLUMBIA,1063298,393,NA,WNJ,54.57,-130.71,543407020,-1304229020,11.9,1970,2023,1980,2020,1978,2023,1978,2007
GREY ISLET (AUT),BRITISH COLUMBIA,1063303,8258,71476,WEK,54.58,-130.7,543449152,-1304152080,9.5,1994,2023,1994,2020,1994,2023,2005,2007
HERBERT ISLAND (AUT),BRITISH COLUMBIA,1063461,8259,71485,WLP,50.94,-127.63,505623140,-1273755380,13.5,1994,2022,1994,2020,1994,2022,2005,2007
HOLLAND ROCK,BRITISH COLUMBIA,1063496,6823,71219,WHL,54.17,-130.36,541020042,-1302139060,5.5,1991,2023,1991,2020,1991,2023,1991,1997
IVORY ISLAND,BRITISH COLUMBIA,1063690,395,NA,WJG,52.27,-128.41,521611040,-1282424030,9.8,1948,2023,1980,2020,1948,2023,1948,2007
KITIMAT,BRITISH COLUMBIA,1064288,399,NA,WKI,54.05,-128.68,540300000,-1284100000,12.8,1979,1994,1980,1994,1979,1994,1979,1994
LUCY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1064728,6824,71220,WLC,54.3,-130.61,541745312,-1303632400,2,1991,2023,1991,2020,1991,2023,1991,2000
MCINNES ISLAND,BRITISH COLUMBIA,1065010,409,71897,WMS,52.26,-128.72,521542000,-1284310000,25.9,1954,2023,1980,2020,1954,2023,1954,2007
PRINCE RUPERT A,BRITISH COLUMBIA,1066481,422,NA,,54.29,-130.44,541733000,-1302641000,35.4,1961,2006,1980,2006,1962,2006,1962,2006
PRINCE RUPERT,BRITISH COLUMBIA,1066482,48693,71022,YPR,54.29,-130.44,541710000,-1302641000,35.4,2010,2023,2010,2020,2010,2023,NA,NA
PRINCE RUPERT AWOS,BRITISH COLUMBIA,1066483,27991,71898,VPT,54.29,-130.44,541710000,-1302641000,35.4,2004,2012,2004,2012,2005,2012,2005,2007
STEWART A,BRITISH COLUMBIA,1067741,53422,NA,ZST,55.93,-129.98,555600000,-1295900000,7.3,2015,2023,2015,2020,NA,NA,NA,NA
STEWART A,BRITISH COLUMBIA,1067742,434,NA,ZST,55.94,-129.99,555610000,-1295906000,7.3,1974,2016,1980,2016,1974,2016,1975,2007
STEWART A,BRITISH COLUMBIA,1067748,53438,NA,ZST,55.93,-129.98,555600000,-1295900000,7.3,2015,2023,2015,2020,2018,2023,NA,NA
TERRACE A,BRITISH COLUMBIA,1068130,441,71951,YXT,54.47,-128.58,542759000,-1283439000,217.3,1953,2013,1980,2013,1953,2013,1953,2013
TERRACE SKEENA BRIDGE CS,BRITISH COLUMBIA,1068133,10750,NA,WSX,54.52,-128.57,543100000,-1283400000,210,1999,2002,1999,2002,NA,NA,NA,NA
TERRACE A,BRITISH COLUMBIA,1068134,51037,71951,YXT,54.47,-128.58,542807000,-1283442000,217.3,2013,2023,2013,2020,2013,2023,NA,NA
TRIPLE ISLAND,BRITISH COLUMBIA,1068250,446,NA,WTI,54.29,-130.88,541740800,-1305249100,20.7,1953,2023,1980,2020,1989,2023,1989,2007
HELMCKEN ISLAND,BRITISH COLUMBIA,106CDL0,9818,NA,WXM,50.4,-125.87,502400000,-1255200000,18.9,1994,2000,1994,2000,1994,2000,NA,NA
NANAKWA SHOALS,BRITISH COLUMBIA,106NLPJ,9817,46181,WCB,53.83,-128.83,535000000,-1284954000,NA,1986,1986,1986,1986,NA,NA,NA,NA
SMITHERS A,BRITISH COLUMBIA,1077498,50130,NA,YYD,54.83,-127.18,544931000,-1271058000,523,2012,2023,2012,2020,NA,NA,NA,NA
SMITHERS,BRITISH COLUMBIA,1077499,48628,71950,YYD,54.83,-127.18,544931000,-1271058000,523,2010,2023,2010,2020,2010,2023,NA,NA
SMITHERS A,BRITISH COLUMBIA,1077500,487,NA,YYD,54.82,-127.18,544929000,-1271058000,521.8,1942,2018,1980,2018,1942,2018,1942,2010
SMITHERS AIRPORT AUTO,BRITISH COLUMBIA,1077501,51658,71268,VYD,54.82,-127.19,544927000,-1271122000,517.6,2013,2023,2013,2020,2013,2023,NA,NA
BIG CREEK (AUT),BRITISH COLUMBIA,10808G0,10811,71760,WBG,51.26,-123.09,511537000,-1230533000,1670,1994,2011,1994,2011,1995,2011,NA,NA
NECHAKO RIVER (AUT),BRITISH COLUMBIA,1085415,10709,71763,WNX,53.68,-124.83,534100000,-1245000000,715,1994,2002,1994,2002,1995,2002,NA,NA
OOTSA LAKESKINS LAKE CLIMATE,BRITISH COLUMBIA,1085836,43963,71679,VSL,53.77,-126,534618800,-1255948190,861,2005,2022,2005,2020,2005,2022,2006,2007
PEMBERTON AIRPORT (WIND),BRITISH COLUMBIA,1086081,46747,NA,WPN,50.3,-122.74,501808000,-1224417000,203,2007,2023,2007,2020,2018,2023,NA,NA
PEMBERTON AIRPORT CS,BRITISH COLUMBIA,1086082,536,71777,WGP,50.31,-122.73,501820326,-1224402720,204.31,1984,2023,1984,2020,1984,2023,1984,2006
PEMBERTON AIRPORT CWS,BRITISH COLUMBIA,1086085,48308,NA,YPS,50.3,-122.74,501809000,-1224416000,204.3,2010,2010,2010,2010,2010,2010,NA,NA
PUNTZI MOUNTAIN (AUT),BRITISH COLUMBIA,1086558,8092,71050,WPU,52.11,-124.14,520652000,-1240808000,909.8,1993,2023,1993,2020,1993,2023,2005,2006
TATLAYOKO LAKE RCS,BRITISH COLUMBIA,1088015,30494,71028,XTL,51.67,-124.4,514028400,-1242411300,875,2000,2023,2000,2020,2000,2023,2004,2007
BURNS LAKE,BRITISH COLUMBIA,1091169,572,NA,,54.23,-125.77,541400000,-1254600000,704.1,1969,1990,1980,1990,1969,1990,1969,1990
BURNS LAKE DECKER LAKE,BRITISH COLUMBIA,1091174,574,71952,WPZ,54.38,-125.96,542259400,-1255731200,713.2,1990,2023,1990,2020,1990,2023,1990,2006
FORT ST JAMES A,BRITISH COLUMBIA,1092972,589,NA,,54.42,-124.25,542500000,-1241500000,716.3,1979,1991,1980,1991,1979,1991,1979,1991
FORT ST JAMES AUTO,BRITISH COLUMBIA,1092975,51538,71933,VFS,54.46,-124.29,542719057,-1241708006,688,2013,2023,2013,2020,2013,2023,NA,NA
PRINCE GEORGE,BRITISH COLUMBIA,1096439,48370,71896,YXS,53.88,-122.68,535303000,-1224039000,691,2009,2023,2009,2020,2009,2023,NA,NA
PRINCE GEORGE A,BRITISH COLUMBIA,1096450,631,71896,YXS,53.89,-122.68,535327000,-1224044000,691.3,1942,2009,1980,2009,1942,2009,1942,2009
PRINCE GEORGE AIRPORT AUTO,BRITISH COLUMBIA,1096453,48248,71302,VXS,53.89,-122.67,535320000,-1224019002,680,2009,2023,2009,2020,2009,2023,NA,NA
PRINCE GEORGE MASSEY AUTO,BRITISH COLUMBIA,1096454,50169,NA,VPX,53.9,-122.79,535359009,-1224727001,601,2012,2023,2012,2020,2018,2023,NA,NA
QUESNEL AUT,BRITISH COLUMBIA,1096601,639,NA,WQZ,53.03,-122.52,530200000,-1223100000,545.3,1990,1994,1990,1994,1990,1994,1990,1994
QUESNEL AWOS,BRITISH COLUMBIA,1096625,30967,71103,CQZ,53.03,-122.51,530134000,-1223036000,545,2005,2011,2005,2011,2005,2010,2005,2007
QUESNEL,BRITISH COLUMBIA,1096629,48688,71192,YQZ,53.03,-122.51,530134000,-1223037000,545,2010,2023,2010,2020,2010,2023,NA,NA
QUESNEL A,BRITISH COLUMBIA,1096630,640,NA,,53.03,-122.51,530134000,-1223036000,545,1946,2007,1980,2007,1946,2007,1946,2007
QUESNEL AIRPORT AUTO,BRITISH COLUMBIA,1096631,48108,71779,VQZ,53.03,-122.51,530136008,-1223023007,545.3,2009,2023,2009,2020,2009,2023,NA,NA
WILLIAMS LAKE A,BRITISH COLUMBIA,1098940,664,71104,YWL,52.18,-122.05,521059000,-1220315000,939.7,1960,2012,1980,2012,1960,2012,1961,2012
WILLIAMS LAKE A,BRITISH COLUMBIA,1098941,50820,71104,YWL,52.18,-122.05,521100000,-1220316000,939.7,2012,2023,2012,2020,2012,2023,NA,NA
HORSEFLY RIVER (AUT),BRITISH COLUMBIA,109CN9G,10891,NA,WFR,52,-121,520017000,-1210003000,846,1994,2001,1994,2001,1995,2001,NA,NA
CALLAGHAN VALLEY (SKI JUMP TOP),BRITISH COLUMBIA,1100001,45487,NA,VOW,50.14,-123.11,500815000,-1230636060,936,2006,2010,2006,2010,2006,2010,NA,NA
CYPRESS BOWL FREESTYLE,BRITISH COLUMBIA,1100004,45490,71004,VOZ,49.39,-123.21,492332400,-1231227270,969.1,2007,2010,2007,2010,2007,2010,NA,NA
ABBOTSFORD A,BRITISH COLUMBIA,1100030,702,71108,YXX,49.03,-122.36,490131000,-1222136000,59.13,1944,2012,1980,2012,1944,2012,1944,2012
ABBOTSFORD A,BRITISH COLUMBIA,1100031,50308,71108,YXX,49.03,-122.36,490131000,-1222136000,59.1,2011,2023,2011,2020,2012,2023,NA,NA
ABBOTSFORD A,BRITISH COLUMBIA,1100032,54238,NA,YXX,49.03,-122.36,490131000,-1222136000,59.1,2016,2023,2016,2020,2018,2023,NA,NA
AGASSIZ RCS,BRITISH COLUMBIA,1100119,706,71113,WZA,49.24,-121.76,491435000,-1214537000,19.3,1988,2023,1988,2020,1988,2023,1988,2006
WHISTLER - NESTERS,BRITISH COLUMBIA,1100875,43443,71687,VOC,50.13,-122.95,500744200,-1225716600,659,2005,2023,2005,2020,2005,2023,2005,2007
BLACKCOMB BASE SLIDING CENTER,BRITISH COLUMBIA,1100881,45787,71756,VOI,50.1,-122.94,500608900,-1225610900,937,2007,2018,2007,2018,2007,2018,NA,NA
